SortID,Order,Family,Species common name,Species scientific name,PhyloName,duplicate,Source,Nest materials raw,Anthropogenic,Number-Mat,BodyMass,str-none,str-scrape,str-platform,str-cup,str-dome,str-ex,loc-artificial,loc-ground-water,loc-cavity,loc-rock,loc-veg,RangeSize,IUCN-category-2020,IUCN-simplified,HFI,Biome-simplified,str-scrapenone,Plastic,WoS-Papers,BrainSize
5661,PASSERIFORMES,Tyrannidae,River Tyrannulet,Serpophaga hypoleuca,Serpophaga hypoleuca,0,HBW,"fine grass, spiderwebs, large feathers",0,3,22,0,0,0,1,0,0,0,0,0,0,1,133,LC,Least-concerned,11.13568043,tropical-forests,0,0,1,NA
5662,PASSERIFORMES,Tyrannidae,Sooty Tyrannulet,Serpophaga nigricans,Serpophaga nigricans,0,HBW,"roots, grasses, feathers",0,3,61.47,0,0,0,1,0,0,1,0,0,0,1,337,LC,Least-concerned,26.04101628,grasslands,0,0,1,NA
5663,PASSERIFORMES,Tyrannidae,White-crested Tyrannulet,Serpophaga subcristata,Serpophaga munda,0,HBW,"plant fibres, feathers, other soft material, lichen",0,4,44,0,0,0,1,0,0,0,0,0,0,1,164,LC,Least-concerned,23.91035618,grasslands,0,0,1,NA
5667,PASSERIFORMES,Tyrannidae,Short-tailed Field-tyrant,Muscigralla brevicauda,Muscigralla brevicauda,0,HBW,"uniform dry greyish grasses (blending with substrate), finer grasses",0,2,56.68,0,0,0,1,1,0,0,1,0,0,0,34,LC,Least-concerned,16.22570809,desert,0,0,0,NA
5667,PASSERIFORMES,Tyrannidae,Short-tailed Field-tyrant,Muscigralla brevicauda,Muscigralla brevicauda,1,NBO,"dead greyish grasses, finer grasses",0,2,56.68,0,0,0,1,1,0,0,1,0,0,0,34,LC,Least-concerned,16.22570809,desert,0,0,NA,NA
5669,PASSERIFORMES,Tyrannidae,Cinnamon Attila,Attila cinnamomeus,Attila cinnamomeus,0,HBW,"small dead sticks, rootlets",0,2,37.6,0,0,0,1,0,0,0,0,1,0,1,489,LC,Least-concerned,8.174584535,tropical-forests,0,0,0,NA
5672,PASSERIFORMES,Tyrannidae,White-eyed Attila,Attila bolivianus,Attila bolivianus,0,HBW,"mossy, rootlets, moss, plant fibres",0,4,65.27,0,0,0,1,0,0,0,0,0,0,1,284,LC,Least-concerned,9.923038425,tropical-forests,0,0,0,NA
5674,PASSERIFORMES,Tyrannidae,Bright-rumped Attila,Attila spadiceus,Attila spadiceus,0,HBW,"moss, small dead sticks, fine leaves, green fern fronds, rootlets",0,5,62.42,0,0,0,1,0,0,0,0,1,1,1,747,LC,Least-concerned,15.57158351,tropical-forests,0,0,6,0.164257219
5674,PASSERIFORMES,Tyrannidae,Bright-rumped Attila,Attila spadiceus,Attila spadiceus,1,NBO,"fibrous rootlets, rachises of compound leaves, green fern frond, moss, similar but finer materials",0,5,62.42,0,0,0,1,0,0,0,0,1,1,1,747,LC,Least-concerned,15.57158351,tropical-forests,0,0,NA,0.164257219
5677,PASSERIFORMES,Tyrannidae,Rufous-tailed Flatbill,Ramphotrigon ruficauda,Ramphotrigon ruficauda,0,HBW,"slender twigs, silky milkweed-like material, green mosses, thin dark rootlets, yellow vegetal fibers, clear-coloured rootlets, a piece of lizard skin, several scales of lizards or snakes",0,8,56.14,NA,NA,NA,NA,NA,NA,0,0,1,0,0,608,LC,Least-concerned,9.224552184,tropical-forests,NA,0,2,NA
5677,PASSERIFORMES,Tyrannidae,Rufous-tailed Flatbill,Ramphotrigon ruficauda,Ramphotrigon ruficauda,1,NBO,"silky milkweed-like material, slender twigs",0,2,56.14,NA,NA,NA,NA,NA,NA,0,0,1,0,0,608,LC,Least-concerned,9.224552184,tropical-forests,NA,0,NA,NA
5678,PASSERIFORMES,Tyrannidae,Dusky-tailed Flatbill,Ramphotrigon fuscicauda,Ramphotrigon fuscicauda,0,HBW,mammalian hairs,0,1,12.1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,58,LC,Least-concerned,13.2794662,tropical-forests,NA,0,4,NA
5678,PASSERIFORMES,Tyrannidae,Dusky-tailed Flatbill,Ramphotrigon fuscicauda,Ramphotrigon fuscicauda,1,NBO,shiny black and blonde mammal hairs,0,1,12.1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,58,LC,Least-concerned,13.2794662,tropical-forests,NA,0,NA,NA
5679,PASSERIFORMES,Tyrannidae,Flammulated Flycatcher,Deltarhynchus flammulatus,Deltarhynchus flammulatus,1,HBW,"fine vegetable fibres, small fragments of dried leaves, shredded bark, small pieces of snake skin",0,4,9.16,0,0,0,1,0,0,0,0,1,0,0,21,LC,Least-concerned,24.27095126,tropical-forests,0,0,NA,NA
5679,PASSERIFORMES,Tyrannidae,Flammulated Flycatcher,Deltarhynchus flammulatus,Deltarhynchus flammulatus,0,NBO,"fine plant fibers, shredded bark, fragments of snake skin, fibers of Spanish moss, dried leaves, shredded bark, small twigs, mycelia",0,8,9.16,0,0,0,1,0,0,0,0,1,0,0,21,LC,Least-concerned,24.27095126,tropical-forests,0,0,2,NA
5680,PASSERIFORMES,Tyrannidae,Great Kiskadee,Pitangus sulphuratus,Pitangus sulphuratus,1,BoNA,"soft grasses, thin twigs, woody vine tendrils, Spanish moss (Tillandsia usneoides), paper, cotton, rags, plastic trash",1,8,8.8,0,0,0,0,1,0,0,0,0,0,1,1451,LC,Least-concerned,18.96486285,tropical-forests,0,1,NA,0.344552296
